21
20
3,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,
5,16,27,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,
27,16,16,29,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,
11,29,16,16,29,11,11,11,11,11,11,11,11,30,11,11,11,11,11,11,
11,11,29,16,16,29,11,11,11,11,11,11,11,11,11,11,11,11,11,11,
11,11,11,29,16,16,29,11,11,11,11,11,11,11,11,11,11,11,11,11,
11,11,11,11,29,16,16,29,11,11,11,11,11,11,11,11,11,11,11,11,
11,11,11,11,11,29,16,16,29,11,11,11,11,11,11,11,11,11,11,11,
11,11,11,11,11,11,29,16,16,29,11,11,11,11,11,11,11,11,11,11,
11,11,11,11,11,11,11,29,16,16,29,11,11,11,11,11,11,11,11,11,
11,11,11,11,11,11,11,11,29,16,16,29,11,11,11,11,11,11,11,11,
11,11,11,11,11,11,11,11,11,29,16,16,29,11,11,11,11,11,11,11,
11,11,11,11,11,11,11,11,11,11,29,16,16,29,11,11,11,11,11,11,
11,11,11,11,11,11,11,11,11,11,11,29,16,16,29,11,11,11,11,11,
11,11,11,11,11,11,11,11,11,11,11,11,29,16,16,29,11,11,11,11,
11,11,11,11,11,11,11,11,11,11,11,11,11,29,16,16,29,11,11,11,
11,11,11,11,11,11,11,11,11,11,11,11,11,11,29,16,16,29,11,11,
11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,29,16,16,29,11,
11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,29,16,16,27,
29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,27,16,23,
8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,25,
