21
20
3,8,8,8,8,8,5,11,11,11,11,11,11,11,3,8,8,8,8,8,5,
16,29,29,29,29,29,23,8,8,8,8,8,8,8,25,29,29,29,29,29,16,
16,29,3,8,9,29,29,29,29,29,29,29,29,29,29,29,7,8,5,29,16,
16,29,16,29,29,29,6,29,7,8,4,8,9,29,6,29,29,29,16,29,16,
16,29,16,27,6,29,16,29,29,29,16,29,29,29,16,29,6,27,16,29,16,
16,29,23,8,25,29,13,8,9,11,26,11,7,8,15,29,23,8,25,29,16,
16,29,29,29,29,29,16,11,11,11,31,11,11,11,16,29,29,29,29,29,16,
16,29,7,8,9,29,26,11,3,9,18,7,5,11,26,29,7,8,9,29,16,
16,29,29,29,29,29,11,11,16,32,33,34,16,11,11,29,29,29,29,29,16,
23,8,8,8,5,29,6,11,23,8,8,8,25,11,6,29,3,8,8,8,25,
11,11,11,11,16,29,16,11,11,11,19,11,11,11,16,29,16,11,11,11,11,
3,8,8,8,25,29,26,11,7,8,4,8,9,11,26,29,23,8,8,8,5,
16,29,29,29,29,29,29,29,29,29,16,29,29,29,29,29,29,29,29,29,16,
16,29,7,8,5,29,7,8,9,29,26,29,7,8,9,29,3,8,9,29,16,
16,27,29,29,16,29,29,29,29,29,30,29,29,29,29,29,16,29,29,27,16,
13,8,9,29,26,29,6,29,7,8,4,8,9,29,6,29,26,29,7,8,15,
16,29,29,29,29,29,16,29,29,29,16,29,29,29,16,29,29,29,29,29,16,
16,29,7,8,8,8,24,8,9,29,26,29,7,8,24,8,8,8,9,29,16,
16,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,16,
23,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,25,
