29
17
3,8,8,8,8,8,8,8,8,8,5,3,8,8,8,8,8,5,3,8,8,8,8,8,8,8,8,8,5,
16,27,29,29,29,29,29,29,29,29,16,16,11,32,11,31,11,16,16,29,29,29,29,29,29,29,29,27,16,
16,29,6,29,0,1,1,1,2,29,16,13,8,9,18,7,8,15,16,29,0,1,1,1,2,29,6,29,16,
16,29,26,29,20,21,21,21,22,29,16,16,29,29,29,29,29,16,16,29,20,21,21,21,22,29,26,29,16,
16,29,29,29,29,29,29,29,29,29,16,16,29,3,8,5,29,16,16,29,29,29,29,29,29,29,29,29,16,
16,29,7,8,5,29,0,1,2,29,16,16,29,16,27,16,29,16,16,29,0,1,2,29,3,8,9,29,16,
16,29,29,29,26,29,20,21,22,29,23,25,29,26,11,26,29,23,25,29,20,21,22,29,26,29,29,29,16,
23,8,9,29,29,29,29,29,29,29,29,29,11,11,11,11,11,29,29,29,29,29,29,29,29,29,7,8,25,
11,29,29,29,7,8,8,8,9,29,7,9,11,11,30,11,11,7,9,29,7,8,8,8,9,29,29,29,11,
3,8,9,29,29,29,29,29,29,29,29,29,11,11,11,11,11,29,29,29,29,29,29,29,29,29,7,8,5,
16,29,29,29,6,29,0,1,2,29,3,5,29,6,11,6,29,3,5,29,0,1,2,29,6,29,29,29,16,
16,29,7,8,25,29,20,21,22,29,16,16,29,16,27,16,29,16,16,29,20,21,22,29,23,8,9,29,16,
16,29,29,29,29,29,29,29,29,29,16,16,29,23,8,25,29,16,16,29,29,29,29,29,29,29,29,29,16,
16,29,6,29,0,1,1,1,2,29,16,16,29,29,29,29,29,16,16,29,0,1,1,1,2,29,6,29,16,
16,29,26,29,20,21,21,21,22,29,16,13,8,9,18,7,8,15,16,29,20,21,21,21,22,29,26,29,16,
16,27,29,29,29,29,29,29,29,29,16,16,11,33,11,34,11,16,16,29,29,29,29,29,29,29,29,27,16,
23,8,8,8,8,8,8,8,8,8,25,23,8,8,8,8,8,25,23,8,8,8,8,8,8,8,8,8,25,
